"Key","Value"
101128,0.0067
101129,0.0212
101130,0.0747
101131,0.0744
101132,0.0922
101133,0.0833
101134,0.078
101135,0.0542
101136,0.0353
101137,0.0855
101138,0.0667
101139,0.2224
101140,0.1716
101141,0.2044
101142,0.175
101143,0.0329
101144,0.0286
101145,0.0405
101146,0.0051
101147,0.0283
101148,0
101149,0.0544
101150,0.0565
101151,0.1183
101152,0.0695
101153,0.0631
101154,0.0241
101155,0.0253
101156,0.0243
101157,0.026
101158,0.0286
101159,0.0329
101160,0.0223
101161,0.0255
101162,0.0208
101163,0.0153
101164,0.0137
101165,0.0118
101166,0.0088
101167,0.0199
101168,0.027
101169,0.0121
101170,0.0072
101171,0.0071
101172,0.0059
101173,0.0065
101174,0.0055
101175,0.003
101176,0.0013
101177,0.0014
101178,3e-04
101498,0.0012
101499,0.0079
101500,0.0118
101501,0.028
101502,0.0162
101503,0.0282
101504,0.0352
101505,0.0528
101506,0.0383
101507,0.0236
101508,0.0489
101509,0.0467
101510,0.0425
101511,0.0364
101512,0.0221
101513,0.0032
101514,0.0063
101515,0.0411
101516,0.0673
101517,0.0646
101518,0.1425
101519,0.2085
101520,0.0437
101521,0.0501
101522,0.0461
101523,0.0102
101524,0.0281
101525,0.0453
101526,0.1365
101527,0.0595
101528,0.1003
101529,0.0272
101530,3e-04
101531,0.0152
101532,0.0331
101533,0.0443
101534,0.1319
101535,0.1976
101536,0.075
101537,0.0388
101538,0.0601
101539,0.0086
101540,0.005
101541,0.0069
101542,3e-04
101543,0.0069
101544,0.0168
101545,0.0288
101546,0.0252
101547,0.0224
101548,0.015
101549,0.0083
101550,0.0076
101551,0.0059
101552,0.0031
101553,0.0062
101554,0.0132
101555,0.0101
101556,0.0131
101557,0.0071
101558,0.0046
101559,0.0043
101560,0.0021
101561,0.0034
101562,0.0012
101563,6e-04
101564,4e-04
101885,3e-04
101886,5e-04
101887,0.0126
101888,0.0116
101889,0.0262
101890,0.0227
101891,0.0261
101892,0.0382
101893,0.0398
101894,0.0481
101895,0.0814
101896,0.0529
101897,0.0416
101898,0.0809
101899,0.0628
101900,0.0138
101901,0.0053
101902,0.0298
101903,0.0715
101904,0.0909
101905,0.0904
101906,0.0681
101907,0.0699
101908,0.0939
101909,0.189
101910,0.1468
101911,0.1255
101912,0.0128
101913,0.0085
101914,0.0069
101915,0.0378
101916,0.0259
101917,0.0078
101918,0.0021
101919,0.0389
101920,0.0757
101921,0.0726
101922,0.2095
101923,0.1477
101924,0.0263
101925,0.0455
101926,0.0351
101927,0.0224
101928,8e-04
101929,2e-04
101930,0.0098
101931,0.0112
101932,0.0094
101933,0.0085
101934,0.0027
101935,0.0015
101936,9e-04
101937,6e-04
101938,6e-04
101939,0.0031
101940,0.002
101941,0.0015
101942,0.0026
101943,0.0049
101944,0.003
101945,0.0018
101946,0.0039
101947,0.0012
101948,9e-04
102286,8e-04
102287,0.0132
